Rank,Risk_Score,Converted_Score,Positives,Negatives,Numbers,Event_Rate,Event_Rate_lower,Event_Rate_upper,Cumulative_Cases,Cumulative_Positives,Cumulative_Negatives,True_Positives,False_Positives,False_Negatives,True_Negatives,Percent_Events,PPV,NPV,Sensitivity,Specificity,cstat
0.61,0.0117386,0.01,63,8061,8124,0.007754801,0.005975389,0.009787739,316416,8560,307856,8560,307856,1390,471606,0.860301508,0.027052994,0.997061286,0.860301508,0.6050404,0.82949685
0.6,0.011598625,0.01,63,5188,5251,0.011997715,0.009249485,0.0151348,321667,8623,313044,8623,313044,1327,466418,0.866633166,0.026807226,0.997162984,0.866633166,0.598384527,0.82949685
0.59,0.010668911,0.01,82,14862,14944,0.005487152,0.004372609,0.006740189,336611,8705,327906,8705,327906,1245,451556,0.874874372,0.025860712,0.997250448,0.874874372,0.579317529,0.82949685
0.58,0.010668911,0.01,23,4232,4255,0.005405405,0.003448921,0.00784736,340866,8728,332138,8728,332138,1222,447324,0.87718593,0.02560537,0.997275642,0.87718593,0.573888143,0.82949685
0.57,0.010594736,0.01,59,5897,5956,0.009905977,0.007564888,0.01259134,346822,8787,338035,8787,338035,1163,441427,0.883115578,0.025335763,0.997372286,0.883115578,0.566322669,0.82949685
0.56,0.010361023,0.01,28,2820,2848,0.009831461,0.006573108,0.01380899,349670,8815,340855,8815,340855,1135,438607,0.885929648,0.025209483,0.997418941,0.885929648,0.562704789,0.82949685
0.4,0.009812981,0.01,730,254686,255416,0.002858083,0.002655137,0.00306918,605086,9545,595541,9545,595541,405,183921,0.959296482,0.015774617,0.997802806,0.959296482,0.235958905,0.82949685
0.24,0.00981298,0.01,0,1,1,0,8.26E-17,0.731948378,605087,9545,595542,9545,595542,405,183920,0.959296482,0.015774591,0.997802794,0.959296482,0.235957622,0.82949685
0.2,0.009744697,0.01,254,64812,65066,0.003903729,0.00344063,0.004398755,670153,9799,660354,9799,660354,151,119108,0.984824121,0.014622034,0.998733848,0.984824121,0.152807962,0.82949685
0.16,0.009744697,0.01,9,698,707,0.012729844,0.005939189,0.022385297,670860,9808,661052,9808,661052,142,118410,0.985728643,0.01462004,0.998802213,0.985728643,0.151912473,0.82949685
0.15,0.007493474,0.01,35,9165,9200,0.003804348,0.00266056,0.005173619,680060,9843,670217,9843,670217,107,109245,0.989246231,0.014473723,0.999021509,0.989246231,0.140154363,0.82949685
0.14,0.004527004,0,15,4732,4747,0.00315989,0.001785649,0.004970583,684807,9858,674949,9858,674949,92,104513,0.990753769,0.014395297,0.999120501,0.990753769,0.134083509,0.82949685
0.13,0.003825844,0,10,6893,6903,0.001448646,0.000704962,0.002492817,691710,9868,681842,9868,681842,82,97620,0.991758794,0.014266094,0.999160713,0.991758794,0.12524023,0.82949685
0.07,0.003516958,0,82,97620,97702,0.000839287,0.000668482,0.001031474,789412,9950,779462,9950,779462,0,0,1,0.012604318,NA,1,0,0.82949685
